wavenumber_ratio_r,true_u,true_epsilon,distinct_root_count,best_residual,roots_if_multiple
1.5,0.38749999999999996,0.16249999999999998,1,0.0,
1.5,0.38749999999999996,0.27499999999999997,1,1.3877787807814457e-17,
1.5,0.38749999999999996,0.38749999999999996,1,2.0206364052201326e-16,
1.5,0.38749999999999996,0.49999999999999994,1,1.249000902703301e-16,
1.5,0.38749999999999996,0.6125,1,9.71445146547012e-17,
1.5,0.38749999999999996,0.725,1,2.242025235105681e-16,
1.5,0.38749999999999996,0.8374999999999999,1,1.6653345369377348e-16,
1.5,0.38749999999999996,0.95,1,3.3306690738754696e-16,
1.5,0.49999999999999994,0.05,1,4.5102810375396984e-17,
1.5,0.49999999999999994,0.16249999999999998,1,1.6653345369377348e-16,
1.5,0.49999999999999994,0.27499999999999997,1,3.891352488241671e-16,
1.5,0.49999999999999994,0.38749999999999996,1,4.85722573273506e-17,
1.5,0.49999999999999994,0.49999999999999994,1,1.716587549445839e-16,
1.5,0.49999999999999994,0.6125,1,1.5265566588595902e-16,
1.5,0.49999999999999994,0.725,1,2.7755575615628914e-17,
1.5,0.49999999999999994,0.8374999999999999,1,2.0816681711721685e-16,
1.5,0.49999999999999994,0.95,1,4.163336342344337e-16,
1.5,0.6125,0.05,1,5.204170427930421e-18,
1.5,0.6125,0.16249999999999998,1,1.668583973270389e-16,
1.5,0.6125,0.27499999999999997,1,1.716587549445839e-16,
1.5,0.6125,0.38749999999999996,1,1.3877787807814457e-17,
1.5,0.6125,0.49999999999999994,1,8.326672684688674e-17,
1.5,0.6125,0.6125,1,6.938893903907228e-17,
1.5,0.6125,0.725,1,3.608224830031759e-16,
1.5,0.6125,0.8374999999999999,1,0.0,
1.5,0.6125,0.95,1,1.6653345369377348e-16,
1.5,0.725,0.05,1,0.0,
1.5,0.725,0.16249999999999998,1,1.7010907505015192e-16,
1.5,0.725,0.27499999999999997,1,1.3877787807814457e-17,
1.5,0.725,0.38749999999999996,1,1.1102230246251565e-16,
1.5,0.725,0.49999999999999994,1,2.7755575615628914e-17,
1.5,0.725,0.6125,1,0.0,
1.5,0.725,0.725,1,2.7755575615628914e-16,
1.5,0.725,0.8374999999999999,1,1.1102230246251565e-16,
1.5,0.725,0.95,1,4.002966042486721e-16,
1.5,0.8374999999999999,0.05,1,1.734723475976807e-18,
1.5,0.8374999999999999,0.16249999999999998,1,4.0418684730288697e-16,
1.5,0.8374999999999999,0.27499999999999997,1,4.163336342344337e-17,
1.5,0.8374999999999999,0.38749999999999996,1,1.1188630228279524e-16,
1.5,0.8374999999999999,0.49999999999999994,1,3.3422138886441676e-16,
1.5,0.8374999999999999,0.6125,1,1.7772239894833365e-16,
1.5,0.8374999999999999,0.725,1,8.568339948907339e-16,
1.5,0.8374999999999999,0.8374999999999999,1,1.1102230246251565e-16,
1.5,0.8374999999999999,0.95,1,7.216449660063518e-16,
1.5,0.95,0.05,1,2.220717083251841e-16,
1.5,0.95,0.16249999999999998,1,6.938893903907228e-18,
1.5,0.95,0.27499999999999997,1,0.0,
1.5,0.95,0.38749999999999996,1,8.326672684688674e-17,
1.5,0.95,0.49999999999999994,1,2.9504581591051765e-16,
1.5,0.95,0.6125,1,2.482534153247273e-16,
1.5,0.95,0.725,1,6.753223014464259e-16,
1.5,0.95,0.8374999999999999,1,2.2887833992611187e-16,
1.5,0.95,0.95,1,1.319485001705613e-15,
2.0,0.05,0.05,1,1.7825322118954783e-15,
2.0,0.05,0.16249999999999998,1,9.073155192387486e-16,
2.0,0.05,0.27499999999999997,1,2.3969961810365873e-15,
2.0,0.05,0.38749999999999996,1,5.652670378693003e-16,
2.0,0.05,0.49999999999999994,1,3.6455617293480535e-15,
2.0,0.05,0.6125,1,3.0261533821944433e-15,
2.0,0.05,0.725,1,9.134189098362336e-16,
2.0,0.05,0.8374999999999999,1,2.3123811879994287e-15,
2.0,0.05,0.95,1,1.3881612346082422e-14,
2.0,0.16249999999999998,0.05,1,1.0300518644345442e-15,
2.0,0.16249999999999998,0.16249999999999998,1,3.35945672305943e-16,
2.0,0.16249999999999998,0.27499999999999997,1,1.9432000404524038e-16,
2.0,0.16249999999999998,0.38749999999999996,1,2.847483988694276e-16,
2.0,0.16249999999999998,0.49999999999999994,1,4.1777673608052093e-16,
2.0,0.16249999999999998,0.6125,1,4.3427720387342467e-16,
2.0,0.16249999999999998,0.725,1,2.360244132317689e-16,
2.0,0.16249999999999998,0.8374999999999999,1,5.618603040568989e-16,
2.0,0.16249999999999998,0.95,1,1.413696397141421e-15,
2.0,0.27499999999999997,0.05,1,1.945231533584563e-16,
2.0,0.27499999999999997,0.16249999999999998,1,2.772303046984639e-16,
2.0,0.27499999999999997,0.27499999999999997,1,4.85722573273506e-17,
2.0,0.27499999999999997,0.38749999999999996,1,1.9478403400799703e-16,
2.0,0.27499999999999997,0.49999999999999994,1,2.1000903724951387e-16,
2.0,0.27499999999999997,0.6125,1,8.206690572649954e-16,
2.0,0.27499999999999997,0.725,1,2.242025235105681e-16,
2.0,0.27499999999999997,0.8374999999999999,1,3.1157488066156603e-16,
2.0,0.27499999999999997,0.95,1,1.5700924586837752e-16,
