epsilon,dL_depsilon,dG_depsilon,dR_depsilon,jacobian_core_factor_K
0.23175942489270385,-0.9221279325989817,-0.0005181793595011647,0.5040729670295858,1.621239910667466
0.23319003862660945,-0.9279658001775881,-0.0005280846934737772,0.5041227635524937,1.6216783415274627
0.23462065236051502,-0.9337261745157918,-0.0005381202051817255,0.504173585028068,1.6221181333927448
0.2360512660944206,-0.939527416797461,-0.000548286894242369,0.5042243373504157,1.622561504149595
0.2374818798283262,-0.9453727466068501,-0.0005585857643454625,0.5042750293972846,1.6230085778245116
0.23891249356223176,-0.951137792372407,-0.0005690178231622297,0.5043267582765035,1.6234569022814973
0.24034310729613734,-0.956946126699009,-0.0005795840823755089,0.5043784158078444,1.6239089114398126
0.2417737210300429,-0.9627164980900733,-0.0005902855577843483,0.5044307494148981,1.6243630172004104
0.24320433476394848,-0.9685280582475646,-0.0006011232689934435,0.5044830128456868,1.62482076332566
0.24463494849785408,-0.9744232773219312,-0.0006120982399409566,0.5045348137642577,1.6252830100359357
0.24606556223175965,-0.9801999566653968,-0.0006232114988476707,0.5045880543390153,1.6257457361988668
0.24749617596566523,-0.9860174520325393,-0.0006344640775981383,0.5046412079510865,1.6262120996133185
0.24892678969957083,-0.9918792178441802,-0.0006458570128524008,0.5046942799080271,1.6266822322362715
0.2503574034334764,-0.9976213253283506,-0.0006573913454128348,0.5047488093722718,1.6271527703635185
0.251788017167382,-1.0034460130391114,-0.0006690681201470791,0.5048028632909456,1.6276278505323714
0.25321863090128754,-1.0093538788943126,-0.000680888386197576,0.5048564308379319,1.6281074963255209
0.2546492446351931,-1.0151833761465676,-0.0006928531971781555,0.5049110809973647,1.6285883770091516
0.2560798583690987,-1.0209741878957679,-0.0007049636112910283,0.5049664229800327,1.6290713038762492
0.25751047210300426,-1.026807966118306,-0.0007172206907735129,0.5050216677982614,1.6295580024060525
0.2589410858369099,-1.0326439944046337,-0.0007296255027959392,0.5050772097806284,1.6300476140505475
0.26037169957081546,-1.0384421665090455,-0.0007421791184413639,0.5051334556694377,1.630539302685434
0.26180231330472103,-1.0443218889066868,-0.0007548826134616516,0.5051891896798193,1.6310355797445504
0.2632329270386266,-1.0502055686778486,-0.0007677370686357067,0.5052452168250323,1.631534833856544
0.2646635407725322,-1.0560102048296653,-0.000780743568887848,0.5053023520113376,1.6320352465123382
0.26609415450643775,-1.0618572145311003,-0.000793903203758821,0.5053593814310086,1.632539465337237
0.2675247682403433,-1.06770669317027,-0.0008072170676373465,0.505416705297,1.6330466210705639
0.26895538197424895,-1.0735584866671044,-0.000820686259498211,0.505474325126772,1.6335567136284104
0.2703859957081545,-1.0794125042617264,-0.0008343118831742434,0.505532241730175,1.6340697442094463
0.2718166094420601,-1.085269165721437,-0.0008480950472082894,0.5055904506273702,1.634585725324627
0.27324722317596567,-1.0910884276860753,-0.0008620368648238968,0.5056493787354,1.635103780274075
0.27467783690987124,-1.0969886634948054,-0.0008761384541835491,0.5057077589647778,1.6356265231807166
0.2761084506437768,-1.1028929056964656,-0.0008904009384817019,0.5057664300566354,1.6361522750073134
0.2775390643776824,-1.1087189243340987,-0.0009048254457217685,0.5058262421223053,1.6366791479135376
0.27896967811158796,-1.1145870931429172,-0.0009194131086256265,0.505885929036573,1.6372098935034314
0.28040029184549353,-1.1204579531678442,-0.0009341650652948833,0.5059459070469424,1.6377436108790844
0.28183090557939916,-1.126291376429747,-0.0009490824586657056,0.5060066180394034,1.638279393571284
0.28326151931330473,-1.1322064514616168,-0.0009641664367692917,0.5060667455516086,1.6388199548963773
0.2846921330472103,-1.1380854826347826,-0.0009794181526899303,0.50612760864032,1.6393626290621888
0.2861227467811159,-1.1440261828671614,-0.0009948387647580566,0.5061880746622082,1.6399096091849623
0.28755336051502145,-1.1498898913252522,-0.0010104294364784122,0.5062497548382335,1.6404577707000132
0.288983974248927,-1.1556731275972756,-0.0010261913365224866,0.5063126175972333,1.6410069266108467
0.2904145879828326,-1.1615828706724531,-0.001042125638889372,0.5063744191710254,1.641562048685969
0.2918452017167382,-1.167473266784067,-0.0010582335226919546,0.5064367415244522,1.6421196240917195
0.2932758154506438,-1.173446476551756,-0.0010745161726321143,0.5064984474330736,1.6426821125718765
0.29470642918454937,-1.1794036798866143,-0.0010909747789027888,0.5065606448409862,1.643247144327771
0.29613704291845494,-1.1852015375270935,-0.0011076105366906344,0.5066249977648025,1.643811303633911
0.2975676566523605,-1.1910402725084455,-0.0011244246467536233,0.5066891882827513,1.6443793844008443
0.2989982703862661,-1.19700567487365,-0.0011414183156641675,0.5067522576665403,1.6449535247676106
0.30042888412017166,-1.2029117262891629,-0.0011585927553240903,0.5068163256787689,1.6455291560717595
0.30185949785407723,-1.208820540967429,-0.0011759491832444402,0.5068806819354356,1.6461078139870868
0.3032901115879828,-1.2147935230403568,-0.0011934888226369834,0.506944595842539,1.6466910018416894
0.30472072532188843,-1.220646922159572,-0.0012112129020197583,0.5070102601628912,1.6472742201209687
0.306151339055794,-1.2264617158047295,-0.0012291226558862492,0.50707668878083,1.6478594298461038
0.3075819527896996,-1.2324823683914454,-0.0012472193248404344,0.5071409954634036,1.6484527702343987
0.30901256652360515,-1.238444936918908,-0.0012655041547573913,0.507206320151873,1.6490476298451646
0.3104431802575107,-1.2443302953514837,-0.001283978397541413,0.5072728797254913,1.649643501172817
0.3118737939914163,-1.250257913052248,-0.0013026433106958027,0.5073392565566699,1.650243436672448
0.31330440772532187,-1.2561881770040246,-0.0013215001581991712,0.5074059217897553,1.6508464256759037
0.3147350214592275,-1.2621215364013807,-0.0013405502096936201,0.5074728700527356,1.6514524838291806
0.31616563519313307,-1.2680573849380297,-0.0013597947405831366,0.5075401084056812,1.6520615991615188
0.31759624892703864,-1.273996318078007,-0.0013792350327048325,0.5076076294576909,1.6526737909912426
0.3190268626609442,-1.2798984269165297,-0.0013988723737900198,0.5076759338874244,1.6532880373613434
0.3204574763948498,-1.2858426669377387,-0.001418708057778733,0.5077440283284593,1.6539063769417908
0.32188809012875536,-1.291869422524688,-0.001438743384704276,0.507811412083457,1.6545298830870134
0.32331870386266093,-1.2978197563128413,-0.0014589796611124538,0.5078800756955795,1.655154389932964
0.3247493175965665,-1.3037329924093368,-0.0014794181995576717,0.5079495213179399,1.6557809231870235
0.3261799313304721,-1.3096889776762628,-0.001500060318767894,0.5080187527035059,1.6564116183077695
0.3276105450643777,-1.3156080284716567,-0.0015209073440772957,0.5080887821268223,1.6570443610130794
0.3290411587982833,-1.3215694749777236,-0.0015419606071781062,0.5081585829816099,1.6576812552137283
0.33047177253218885,-1.3275742168900642,-0.0015632214462081026,0.508228154630067,1.6583223510682608
0.3319023862660944,-1.3335811903901718,-0.0015846912058577153,0.5082980039606606,1.658966520752902
0.333333,-1.3395125840576003,-0.0016063712372651794,0.5083691683384871,1.6596116965584184
0.33476361373390556,-1.345485275636678,-0.001628262898195617,0.5084400945571875,1.6602610104847764
0.33619422746781114,-1.3515020254286936,-0.0016503675529810965,0.5085107847530532,1.6609146001843995
0.33762484120171676,-1.357441693394877,-0.0016726865727326587,0.5085827959789827,1.661569103181831
0.33905545493562234,-1.3633849180761257,-0.0016952213354972628,0.5086550946655635,1.6622267751742945
0.3404860686695279,-1.3693703222832412,-0.0017179732256458343,0.5087271471287077,1.6628886622503216
0.3419166824034335,-1.3754377866211254,-0.0017409436346214951,0.508798425093145,1.6635558893916613
0.34334729613733905,-1.3813903025272722,-0.0017641339609782182,0.5088715704566569,1.6642229786081173
0.3447779098712446,-1.3873846494620898,-0.0017875456095376,0.5089444527473957,1.6648942811542533
0.3462085236051502,-1.39342253516795,-0.0018111799927853073,0.5090170872319979,1.6655699074606618
0.34763913733905577,-1.3994458243129537,-0.0018350385299514263,0.509090215280496,1.6662481621296663
0.34906975107296134,-1.405388351756062,-0.001859122647254558,0.5091647942436783,1.6669272412219818
0.35050036480686697,-1.4112929426123584,-0.0018834337783925424,0.5092401994884099,1.6676083052219937
0.35193097854077254,-1.41740510196162,-0.0019079733636042891,0.5093130754479973,1.6682984063105026
0.3533615922746781,-1.4234194233375785,-0.0019327428509282674,0.5093876337423465,1.668988798153066
0.3547922060085837,-1.4294354919519365,-0.0019577436955135453,0.5094624602992112,1.6696822984516388
0.35622281974248926,-1.4354953480051953,-0.0019829773595237683,0.5095370167191041,1.6703801926559367
0.35765343347639483,-1.441478747845015,-0.00200844531299805,0.5096129505093862,1.671078947372981
0.3590840472103004,-1.4475053918698702,-0.0020341490332409697,0.5096886027964586,1.671782081045941
0.36051466094420603,-1.4535349279489425,-0.0020600900047855588,0.5097645341858683,1.6724884101807664
0.3619452746781116,-1.4595675435203825,-0.0020862697199844214,0.5098407416672925,1.6731979445410923
0.3633758884120172,-1.4656039169377846,-0.0021126896787022485,0.5099172154115713,1.6739107087204328
0.36480650214592275,-1.47164311125541,-0.0021393513882124746,0.5099939685584375,1.6746266794753155
0.3662371158798283,-1.4776466745666539,-0.002166256363950463,0.5100715607395967,1.6753447256089524
