d_km,epsilon,invariant_residual
2.8,0.9600000000000001,1.0450828585086187
2.8,0.97,1.0805292743468602
2.8,0.98,1.124764605062314
2.8,0.99,1.1818682882326632
3.0,0.01,0.7345153331446695
3.0,0.02,0.7339047857825562
3.0,0.03,0.7333250239631613
3.0,0.04,0.7327761046062586
3.0,0.05,0.7322580985798656
3.0,0.060000000000000005,0.7317710907618076
3.0,0.06999999999999999,0.7313151801356284
3.0,0.08,0.730890479921411
3.0,0.09,0.7304971177422849
3.0,0.09999999999999999,0.7301352358275439
3.0,0.11,0.7298049912535066
3.0,0.12,0.7295065562234505
3.0,0.13,0.7292401183881554
3.0,0.14,0.7290058812088214
3.0,0.15000000000000002,0.7288040643643648
3.0,0.16,0.7286349042053477
3.0,0.17,0.728498654257085
3.0,0.18000000000000002,0.7283955857747552
3.0,0.19,0.7283259883536892
3.0,0.2,0.7282901705983369
3.0,0.21000000000000002,0.7282884608538305
3.0,0.22,0.7283212080044568
3.0,0.23,0.7283887823438423
3.0,0.24000000000000002,0.7284915765221482
3.0,0.25,0.7286300065761546
3.0,0.26,0.7288045130487248
3.0,0.27,0.7290155622048495
3.0,0.28,0.729263647352227
3.0,0.29000000000000004,0.7295492902752073
3.0,0.3,0.7298730427918713
3.0,0.31,0.7302354884450927
3.0,0.32,0.7306372443396237
3.0,0.33,0.7310789631385762
3.0,0.34,0.7315613352341819
3.0,0.35000000000000003,0.7320850911094003
3.0,0.36000000000000004,0.7326510039088432
3.0,0.37,0.7332598922396424
3.0,0.38,0.7339126232252968
3.0,0.39,0.7346101158383086
3.0,0.4,0.7353533445405166
3.0,0.41000000000000003,0.7361433432635981
3.0,0.42000000000000004,0.7369812097662407
3.0,0.43,0.7378681104090996
3.0,0.44,0.7388052853939349
3.0,0.45,0.7397940545193575
3.0,0.46,0.7408358235125575
3.0,0.47000000000000003,0.7419320910043745
3.0,0.48000000000000004,0.74308445622429
3.0,0.49,0.7442946275025629
3.0,0.5,0.7455644316790937
3.0,0.51,0.746895824532938
3.0,0.52,0.748290902363116
3.0,0.53,0.7497519148708772
3.0,0.54,0.7512812795164562
3.0,0.55,0.7528815975502071
3.0,0.56,0.7545556719496501
3.0,0.5700000000000001,0.7563065275313535
3.0,0.5800000000000001,0.7581374335508951
3.0,0.59,0.7600519291568743
3.0,0.6,0.7620538521278557
3.0,0.61,0.7641473713964972
3.0,0.62,0.766337023955713
3.0,0.63,0.768627756851086
3.0,0.64,0.7710249750962589
3.0,0.65,0.7735345965093258
3.0,0.66,0.7761631146654032
3.0,0.67,0.7789176714027066
3.0,0.68,0.7818061406183029
3.0,0.6900000000000001,0.7848372254604263
3.0,0.7000000000000001,0.7880205714866194
3.0,0.7100000000000001,0.7913668989368863
3.0,0.72,0.7948881580028545
3.0,0.73,0.7985977119031589
3.0,0.74,0.8025105537631326
3.0,0.75,0.8066435648261314
3.0,0.76,0.8110158235073887
3.0,0.77,0.8156489773948006
3.0,0.78,0.8205676937209507
3.0,0.79,0.8258002083815303
3.0,0.8,0.8313789996902032
3.0,0.81,0.8373416213626848
3.0,0.8200000000000001,0.8437317406234376
3.0,0.8300000000000001,0.8506004431739013
3.0,0.8400000000000001,0.8580078890757445
3.0,0.85,0.8660254354793401
3.0,0.86,0.8747383883795458
3.0,0.87,0.8842496138471363
3.0,0.88,0.8946843418576962
3.0,0.89,0.9061966535148513
3.0,0.9,0.9189783902943309
3.0,0.91,0.9332716237463184
3.0,0.92,0.9493864883555327
3.0,0.93,0.9677273215522373
3.0,0.9400000000000001,0.9888320930251334
3.0,0.9500000000000001,1.013433912933116
3.0,0.9600000000000001,1.0425609099559832
3.0,0.97,1.0777065252640412
3.0,0.98,1.121138062527803
3.0,0.99,1.1765011249794732
3.2,0.01,0.7226573600502392
3.2,0.02,0.7220040754442937
3.2,0.03,0.7213833787275538
3.2,0.04,0.7207953339593728
3.2,0.05,0.7202400198749132
3.2,0.060000000000000005,0.7197175299486098
3.2,0.06999999999999999,0.7192279724933336
3.2,0.08,0.7187714707958615
3.2,0.09,0.7183481632894388
3.2,0.09999999999999999,0.7179582037644072
3.2,0.11,0.7176017616180703
3.2,0.12,0.7172790221451691
3.2,0.13,0.7169901868705651
3.2,0.14,0.7167354739259497
3.2,0.15000000000000002,0.7165151184726566
3.2,0.16,0.7163293731729077
3.2,0.17,0.7161785087121157
3.2,0.18000000000000002,0.7160628143751684
3.2,0.19,0.7159825986799598
3.2,0.2,0.7159381900717938
3.2,0.21000000000000002,0.7159299376826803
3.2,0.22,0.7159582121599884
3.2,0.23,0.7160234065693903
3.2,0.24000000000000002,0.7161259373775558
3.2,0.25,0.7162662455206473
3.2,0.26,0.7164447975652919
3.2,0.27,0.7166620869694295
3.2,0.28,0.7169186354512184
3.2,0.29000000000000004,0.7172149944750598
3.2,0.3,0.7175517468647732
3.2,0.31,0.7179295085550552
3.2,0.32,0.7183489304935584
3.2,0.33,0.7188107007073065
3.2,0.34,0.7193155465486811
3.2,0.35000000000000003,0.7198642371379412
3.2,0.36000000000000004,0.7204575860211686
3.2,0.37,0.7210964540647242
3.2,0.38,0.7217817526097561
3.2,0.39,0.7225144469131008
3.2,0.4,0.7232955599040787
3.2,0.41000000000000003,0.724126176290287
3.2,0.42000000000000004,0.725007447049577
3.2,0.43,0.7259405943500788
3.2,0.44,0.7269269169454626
3.2,0.45,0.7279677960987314
3.2,0.46,0.7290647020948545
3.2,0.47000000000000003,0.730219201410591
3.2,0.48000000000000004,0.7314329646191526
3.2,0.49,0.7327077751180746
3.2,0.5,0.7340455387810738
3.2,0.51,0.7354482946491008
3.2,0.52,0.7369182267925602
3.2,0.53,0.7384576774962428
3.2,0.54,0.7400691619414149
3.2,0.55,0.7417553845863716
3.2,0.56,0.743519257478373
3.2,0.5700000000000001,0.7453639207671869
3.2,0.5800000000000001,0.7472927657346277
3.2,0.59,0.7493094607069555
3.2,0.6,0.7514179802795184
3.2,0.61,0.7536226383578154
3.2,0.62,0.7559281256089501
3.2,0.63,0.7583395520256343
3.2,0.64,0.760862495435828
3.2,0.65,0.7635030569501603
3.2,0.66,0.7662679245334112
3.2,0.67,0.769164446124295
3.2,0.68,0.7722007140209753
3.2,0.6900000000000001,0.7753856626127023
3.2,0.7000000000000001,0.7787291819897464
3.2,0.7100000000000001,0.7822422505293063
3.2,0.72,0.7859370902670082
3.2,0.73,0.7898273497656323
3.2,0.74,0.7939283203428917
3.2,0.75,0.7982571929971604
3.2,0.76,0.8028333652807365
3.2,0.77,0.8076788098614686
3.2,0.78,0.8128185197888148
3.2,0.79,0.8182810498250964
3.2,0.8,0.8240991790211178
3.2,0.81,0.8303107275876145
3.2,0.8200000000000001,0.8369595718829255
3.2,0.8300000000000001,0.8440969162448002
3.2,0.8400000000000001,0.8517829012977775
3.2,0.85,0.8600886580910622
3.2,0.86,0.8690989603354328
3.2,0.87,0.8789156900067722
3.2,0.88,0.8896624257827155
3.2,0.89,0.9014906075176847
3.2,0.9,0.9145879543046193
3.2,0.91,0.9291901727882317
3.2,0.92,0.9455975838882201
3.2,0.93,0.9641993024675707
3.2,0.9400000000000001,0.9855093817863149
