epsilon,mode1_fraction_cutoff,mode2_fraction_cutoff,condition_number
0.55,0.45,0.65,9.993959319993952
0.5625,0.45,0.65,9.84833902121763
0.5750000000000001,0.45,0.65,9.712823452990408
0.5875,0.45,0.65,9.587007584988921
0.6,0.45,0.65,9.470541591835422
0.6125,0.45,0.65,9.363127350279152
0.625,0.45,0.65,9.264515626985805
0.6375,0.45,0.65,9.174503869588694
0.65,0.45,0.65,9.092934568342487
0.6625,0.45,0.65,9.019694170870205
0.675,0.45,0.65,8.954712521521683
0.6875,0.45,0.65,8.897962811488009
0.7000000000000001,0.45,0.65,8.849462070206439
0.7125,0.45,0.65,8.809272209699701
0.725,0.45,0.65,8.777501640756842
0.7375,0.45,0.65,8.75430753536712
0.75,0.45,0.65,8.73989877469432
0.7625000000000001,0.45,0.65,8.734539697722427
0.775,0.45,0.65,8.738554734770824
0.7875,0.45,0.65,8.752334091451635
0.8,0.45,0.65,8.776340635815345
0.8125,0.45,0.65,8.811118233077632
0.8250000000000001,0.45,0.65,8.857301812084136
0.8375,0.45,0.65,8.915629485293
0.85,0.45,0.65,8.986957227189277
0.8625,0.45,0.65,9.072276635941604
0.875,0.45,0.65,9.172736551444855
0.8875000000000001,0.45,0.65,9.289669457157434
0.9,0.45,0.65,9.424623912416108
0.1,0.7,0.85,13.054267539183327
0.1125,0.7,0.85,11.66721903519984
0.125,0.7,0.85,10.564140019903224
0.1375,0.7,0.85,9.667532468340909
0.15000000000000002,0.7,0.85,8.925723969662002
0.1625,0.7,0.85,8.302934313968366
0.17500000000000002,0.7,0.85,7.773599252857159
0.1875,0.7,0.85,7.3189647546532415
0.2,0.7,0.85,6.924958415806961
0.21250000000000002,0.7,0.85,6.580812159028548
0.225,0.7,0.85,6.2781440424045725
0.23750000000000002,0.7,0.85,6.010330046627291
0.25,0.7,0.85,5.772064349445801
0.2625,0.7,0.85,5.559045259852294
0.275,0.7,0.85,5.367746832294646
0.2875,0.7,0.85,5.195250088048819
0.30000000000000004,0.7,0.85,5.0391164575477365
0.3125,0.7,0.85,4.897291620912123
0.325,0.7,0.85,4.768031566948489
0.3375,0.7,0.85,4.6498451057062296
0.35,0.7,0.85,4.541448722189716
0.36250000000000004,0.7,0.85,4.441730794148055
0.375,0.7,0.85,4.349722980882548
0.38750000000000007,0.7,0.85,4.264577171638506
0.4,0.7,0.85,4.185546768558986
0.4125,0.7,0.85,4.111971388279375
0.42500000000000004,0.7,0.85,4.043264273953036
0.4375,0.7,0.85,3.978901877751916
0.45000000000000007,0.7,0.85,3.91841518765693
0.4625,0.7,0.85,3.8613824692013647
0.475,0.7,0.85,3.8074231597589585
0.48750000000000004,0.7,0.85,3.7561927103362365
0.5,0.7,0.85,3.7073782041683354
0.5125000000000001,0.7,0.85,3.660694624179411
0.525,0.7,0.85,3.6158816555168256
0.5375,0.7,0.85,3.5727009419332307
0.55,0.7,0.85,3.5309337180236113
0.5625,0.7,0.85,3.490378763425068
0.5750000000000001,0.7,0.85,3.4508506286755076
0.5875,0.7,0.85,3.4121780914320383
0.6,0.7,0.85,3.374202813219384
