epsilon,kappa_star,lambda_over_d,gamma_d_over_U0,vph_over_U0,chi
0.38306532663316584,0.8275552452121018,7.59246629579299,0.40213981702753904,0.1929475338509732,0.06319450019373075
0.3880402010050251,0.8284018037798757,7.584707419165838,0.40212710972178084,0.19549037800788086,0.06409485973829844
0.39301507537688446,0.8292616399398836,7.576843066845681,0.4021138671295703,0.19803462750556267,0.0649985687059991
0.39798994974874374,0.8301348547586198,7.568873022451951,0.4021000728939148,0.20058029811837125,0.06590568847268284
0.402964824120603,0.8310215512800809,7.560797066575655,0.40208571030579404,0.20312740549853536,0.06681628124922515
0.4079396984924623,0.8319218346282898,7.552614976125696,0.40207076229762745,0.20567596516161285,0.06773041010376271
0.4129145728643216,0.8328358119864837,7.544326524807938,0.40205521143658934,0.20822599248964024,0.06864813898044324
0.41788944723618093,0.8337635926796153,7.535931482671471,0.4020390399177598,0.21077750271920043,0.06956953272196374
0.4228643216080402,0.8347052881664734,7.5274296164833565,0.40202222955711475,0.2133305109427916,0.07049465708961866
0.4278391959798995,0.8356610121152899,7.518820689354767,0.40200476178434735,0.21588503209771173,0.07142357878659125
0.4328140703517588,0.8366308804060935,7.510104461037563,0.401986617635522,0.21844108096596304,0.07235636547928527
0.4377889447236181,0.8376150111948958,7.501280687670984,0.4019677777455467,0.22099867216472255,0.07329308582125543
0.4427638190954774,0.8386135249441559,7.492349121841303,0.4019482223404747,0.22355782014190603,0.07423380947652268
0.4477386934673367,0.8396265444642615,7.483309512550824,0.40192793122962095,0.22611853917001815,0.07517860714380353
0.452713567839196,0.8406541949527907,7.47416160521561,0.40190688379748996,0.22868084334032618,0.07612755058121715
0.4576884422110553,0.8416966040312193,7.464905141694664,0.4018850589955176,0.23124474655744662,0.07708071263146436
0.4626633165829146,0.8427539018104543,7.455539860072641,0.4018624353336142,0.2338102625291711,0.07803816724865371
0.4676381909547739,0.8438262209070463,7.44606549489024,0.4018389908715128,0.23637740476432234,0.07899998952393472
