epsilon,kappa_star,lambda_over_d,gamma_d_over_U0,vph_over_U0,chi
0.037195957081545064,0.7970878574571859,7.882675979061789,0.4023711520837111,0.018599285587344583,0.005864024165949234
0.038626570815450643,0.797109509985667,7.882461855576865,0.4023711489553711,0.019314748788669355,0.006089762465310734
0.04005718454935622,0.797131933062077,7.882240124346242,0.4023711454591644,0.020030224714817,0.006315523146154542
0.0414877982832618,0.7971552096392611,7.882009966444218,0.4023711415672908,0.020745712608454744,0.0065413073059909085
0.04291841201716738,0.7971792926093876,7.881771849106854,0.4023711372509316,0.021461213614711285,0.006767115632129286
0.04434902575107296,0.7972041939981518,7.881525654886548,0.4023711324802494,0.02217672800296761,0.006992949001263933
0.04577963948497854,0.7972299140100069,7.88127138327717,0.4023711272243854,0.022892256219021592,0.007218808252416097
0.04721025321888412,0.7972564528530208,7.8810090337869365,0.4023711214514602,0.023607798708700004,0.007444694225014465
0.0486408669527897,0.7972837989260778,7.880738722701861,0.40237111512857215,0.024323356131815365,0.007670607712727986
0.05007148068669528,0.7973119761033749,7.880460215694721,0.4023711082217963,0.02503892851204304,0.007896549646969807
0.05150209442060086,0.7973409727816273,7.8801736291813524,0.4023711006961839,0.025754516503130216,0.008122520823613944
0.05293270815450644,0.7973708010393592,7.879878845562894,0.4023710925157611,0.026470120317394912,0.00834852213428337
0.05436332188841202,0.7974014256373474,7.879576214900242,0.4023710836435279,0.027185741099791903,0.00857455426976652
0.055793935622317596,0.7974329059641698,7.8792651521981485,0.40237107404145694,0.027901378105250566,0.008800618329326675
0.057224549356223176,0.7974651594809562,7.878946474939551,0.4023710636704927,0.028617033486661128,0.009026714787169774
0.058655163090128755,0.797498257428953,7.87861948117089,0.4023710524905507,0.029332706215193807,0.009252844804851739
0.060085776824034334,0.7975321764127811,7.878284404073472,0.402371040460515,0.030048397227986166,0.009479009120075385
0.061516390557939914,0.7975669167194321,7.877941242878663,0.4023710275382385,0.03076410697032093,0.009705208577268396
0.0629470042918455,0.7976024904717245,7.877589879970829,0.402371013680541,0.03147983561024468,0.009931444081276093
0.06437761802575107,0.7976388742914133,7.8772305484249205,0.40237099884320837,0.032195584141506216,0.010157716359254953
0.06580823175965665,0.7976760803185543,7.876863130545895,0.40237098298099044,0.03291135273827943,0.010384026315892709
0.06723884549356224,0.7977140851818433,7.876487859365427,0.4023709660476008,0.03362714243845362,0.010610374669996779
0.06866945922746781,0.7977529602038196,7.876104032975674,0.4023709479957145,0.03434295191008165,0.010836762652681884
0.07010007296137338,0.7977926347041664,7.87571235163068,0.4023709287769671,0.0350587833753577,0.011063190728292422
0.07153068669527897,0.7978331208378151,7.875312697699903,0.4023709083419536,0.0357746370023017,0.011289659805343895
0.07296130042918456,0.7978744544481392,7.874904719847732,0.40237088664022647,0.03649051229067918,0.011516170937325456
0.07439191416309013,0.797916588531142,7.874488884541293,0.4023708636202945,0.037206410958597246,0.011742724699368287
0.0758225278969957,0.7979595707811556,7.874064723640968,0.4023708392296205,0.037922332152842325,0.01196932222255767
0.07725314163090129,0.7980033542060968,7.87363270349971,0.4023708134146219,0.0386382776418041,0.01219596407253415
