wavenumber_ratio_r,upper_mode_fraction_cutoff_u,min_jacobian_determinant,min_singular_value,max_condition_number
1.005,0.4360869565217391,1.892107409816763e-05,0.0020957978363032,4.307715482845349
1.005,0.4502898550724638,2.028551188592295e-05,0.002153509218561,4.374138204456339
1.005,0.4644927536231884,2.176992836636053e-05,0.0022114644965832,4.4514044644274735
1.005,0.4786956521739131,2.338960184613174e-05,0.0022697753386548,4.540012858755746
1.005,0.4928985507246377,2.5162174668269937e-05,0.0023285606326961,4.6405886234328095
1.005,0.5071014492753623,2.71081039795251e-05,0.0023879475340186,4.753894960859881
1.005,0.521304347826087,2.925121253837991e-05,0.0024480726722637,4.880847759268515
1.005,0.5355072463768116,3.1619367678249544e-05,0.0025090835612067,5.0225345223592335
1.005,0.5497101449275362,3.4245324663169594e-05,0.0025711402381309,5.180238529252128
1.005,0.5639130434782609,3.716777879134499e-05,0.0026344171926458,5.355468925673387
1.005,0.5781159420289855,4.043268626180708e-05,0.0026991056390627,5.549998053546882
1.005,0.5923188405797102,4.409493781035876e-05,0.0027654162171225,5.76590820177782
1.005,0.6065217391304348,4.822049223771869e-05,0.0028335822069753,6.005649823481084
1.005,0.6207246376811595,5.2889120149483205e-05,0.0029038633943545,6.272114500937518
1.005,0.634927536231884,5.819796534396018e-05,0.0029765507395846,6.568727130084215
1.005,0.6491304347826087,6.426620615187367e-05,0.0030519720582988,6.899562552848636
1.005,0.6633333333333333,7.124122470394557e-05,0.0031304989872251,7.2694949895368595
1.005,0.677536231884058,7.930685747992122e-05,0.003212555588637,7.684390720565939
1.005,0.6917391304347826,8.869456138370965e-05,0.0032986290783861,8.151359066518786
1.005,0.7059420289855073,9.969872232403092e-05,0.0033892833242594,8.679083027873062
1.005,0.7201449275362319,0.000112697936942,0.0034851759948281,9.278259987936227
1.005,0.7343478260869566,0.0001281850514267,0.0035870806067237,9.962196642809388
1.005,0.7485507246376812,0.0001468102833465,0.003695915191811,10.74762444847502
1.005,0.7627536231884058,0.0001694442740664,0.0038127800907768,11.655834788631688
1.005,0.7769565217391304,0.0001972721990846,0.0039390085063216,12.71428811227324
1.005,0.7911594202898551,0.0002319374822365,0.0040762352496619,13.95894055827844
1.005,0.8053623188405797,0.0002757669722158,0.0042264919533193,15.43768438808412
1.005,0.8195652173913044,0.0003321341587686,0.0043923417150273,17.215565915965676
1.005,0.833768115942029,0.0004060647860961,0.0045770740265211,19.38293128799491
1.005,0.8479710144927537,0.0005052859458233,0.0047849947387835,22.068574927613813
1.005,0.8621739130434782,0.0006421260152058,0.0050218711516991,25.461801852552224
1.005,0.8763768115942029,0.0008371410669493,0.0052956409058432,29.85118602741775
1.005,0.8905797101449275,0.0011264869812653,0.0056175918790309,35.69651415864637
1.005,0.9047826086956522,0.0015781089691555,0.0060044339661972,43.7716423558724
1.005,0.9189855072463768,0.0023309162210053,0.006482187287449,55.47323774312095
1.005,0.9331884057971016,0.0037023115010039,0.0070941286453906,73.5656093604739
1.005,0.947391304347826,0.0065386619294599,0.0079189869763816,104.2676597412502
1.005,0.9615942028985508,0.0136840600415801,0.0091198662620072,164.5273231121772
1.005,0.9757971014492756,0.0393165918652148,0.0111130257439574,318.3546688402569
1.005,0.99,0.2582789674756461,0.0154960023167801,1075.597282411829
1.0380542739354668,0.01,1.4646446797755576e-05,0.0004647855553268,67.79958465244368
1.0380542739354668,0.0242028985507246,3.5471878850533966e-05,0.0011115673178056,28.708642294554487
1.0380542739354668,0.0384057971014492,5.636691375223526e-05,0.001743184509214,18.54972778653015
1.0380542739354668,0.0526086956521739,7.738032078626557e-05,0.0023601860388926,13.891145224293952
1.0380542739354668,0.0668115942028985,9.856304491492356e-05,0.0029631120292917,11.225817267253625
1.0380542739354668,0.0810144927536231,0.0001199685198325,0.0035524946192913,9.506057632403037
1.0380542739354668,0.0952173913043478,0.0001416529571478,0.0041288584204993,8.30932341991731
1.0380542739354668,0.1094202898550724,0.0001636757157915,0.0046927211960235,7.432497016094839
1.0380542739354668,0.1236231884057971,0.0001860996898236,0.0052445943871461,6.765841781222653
1.0380542739354668,0.1378260869565217,0.0002089917425754,0.0057849837734438,6.244890632194507
1.0380542739354668,0.1520289855072464,0.0002324231938316,0.0063143901061762,5.829303216072155
1.0380542739354668,0.166231884057971,0.0002564703741662,0.0068333097903799,5.492562219484164
1.0380542739354668,0.1804347826086956,0.0002812152366813,0.007342235589902,5.216536092960674
1.0380542739354668,0.1946376811594203,0.0003067460513838,0.0078416573698975,4.988422804696644
1.0380542739354668,0.2088405797101449,0.0003331581887215,0.0083320628806248,4.798941044687029
1.0380542739354668,0.2230434782608695,0.0003605550108817,0.0088139385883922,4.641212948415382
1.0380542739354668,0.2372463768115942,0.000389048872093,0.0092877705565999,4.51004841803753
1.0380542739354668,0.2514492753623188,0.0004187622742769,0.0097540453865472,4.4014726302373175
1.0380542739354668,0.2656521739130435,0.0004498291665944,0.0102132512244299,4.312405406186775
1.0380542739354668,0.2798550724637681,0.0004823964460123,0.0106658788462634,4.240438872698223
1.0380542739354668,0.2940579710144927,0.0005166256752061,0.0111124228244982,4.183680108805339
1.0380542739354668,0.3082608695652174,0.000552695051351,0.0115533827936003,4.140637874404588
1.0380542739354668,0.322463768115942,0.0005908016835598,0.011989264830058,4.110140021737547
1.0380542739354668,0.3366666666666666,0.0006311642339766,0.0124205829492848,4.091272641365633
1.0380542739354668,0.3508695652173913,0.0006740259617517,0.0128478607557434,4.083334730272493
1.0380542739354668,0.365072463768116,0.0007196582915804,0.0132716332487299,4.085804570628971
1.0380542739354668,0.3792753623188406,0.000768364960779,0.0136924488202576,4.098314656735146
1.0380542739354668,0.3934782608695652,0.0008204868889304,0.0141108714657407,4.120633355319761
1.0380542739354668,0.4076811594202899,0.0008764079052455,0.0145274832396166,4.1526518297089465
1.0380542739354668,0.4218840579710145,0.0009365615001973,0.014942887000203,4.194375195903337
1.0380542739354668,0.4360869565217391,0.0010014388311115,0.0153577094749462,4.2459173096894895
1.0380542739354668,0.4502898550724638,0.0010715982444793,0.0157726047139312,4.307498697004007
1.0380542739354668,0.4644927536231884,0.001147676647254,0.0161882579790717,4.379447366509395
1.0380542739354668,0.4786956521739131,0.0012304031470115,0.0166053901535695,4.46220239665682
1.0380542739354668,0.4928985507246377,0.0013206154990883,0.017024762746845,4.55632036994546
1.0380542739354668,0.5071014492753623,0.001419280021418,0.0174471836161713,4.662484769205961
1.0380542739354668,0.521304347826087,0.0015275158310178,0.0178735135138971,4.781518648215931
1.0380542739354668,0.5355072463768116,0.0016466245029448,0.0183046736274598,4.914401038805631
1.0380542739354668,0.5497101449275362,0.0017781265874643,0.0187416542893616,5.0622877851304535
1.0380542739354668,0.5639130434782609,0.0019238067931582,0.0191855250892625,5.226537540119455
1.0380542739354668,0.5781159420289855,0.0020857703036116,0.0196374466669433,5.40874420301091
1.0380542739354668,0.5923188405797102,0.0022665134049967,0.0200986845355854,5.61077721480588
1.0380542739354668,0.6065217391304348,0.0024690126922645,0.0205706253589014,5.83483169087997
1.0380542739354668,0.6207246376811595,0.0026968386588249,0.021054796233773,6.08349113710552
1.0380542739354668,0.634927536231884,0.0029543014125479,0.0215528876547579,6.359806054624672
1.0380542739354668,0.6491304347826087,0.0032466393353496,0.0220667810276568,6.667393314330006
1.0380542739354668,0.6633333333333333,0.003580265550845,0.0225985818495765,7.010562527609684
1.0380542739354668,0.677536231884058,0.0039630931983746,0.0231506599919936,7.39447818934688
1.0380542739354668,0.6917391304347826,0.0044049693538255,0.0237256989620041,7.825369620105218
1.0380542739354668,0.7059420289855073,0.0049182606877488,0.0243267566207325,8.310805603703287
1.0380542739354668,0.7201449275362319,0.0055186540119607,0.0249573406482062,8.86005776689175
1.0380542739354668,0.7343478260869566,0.0062262658199212,0.025621503197504,9.484587475175584
1.0380542739354668,0.7485507246376812,0.0070672034535779,0.0263239607860968,10.19870720511292
1.0380542739354668,0.7627536231884058,0.0080757985823528,0.0270702477957971,11.02049282735244
1.0380542739354668,0.7769565217391304,0.0092978616922557,0.0278669153216386,11.973063500048124
1.0380542739354668,0.7911594202898551,0.010795521871266,0.0287217921085349,13.086411509044838
1.0380542739354668,0.8053623188405797,0.0126545899591762,0.0296443318780241,14.400074670312875
1.0380542739354668,0.8195652173913044,0.0149960511393728,0.0306460830192906,15.967133826948109
1.0380542739354668,0.833768115942029,0.0179945318003084,0.0317413350922661,17.86035847488847
1.0380542739354668,0.8479710144927537,0.0219089761945514,0.0329480265927641,20.181956594647115
1.0380542739354668,0.8621739130434782,0.027135605059958,0.034289048673303,23.07961912977908
1.0380542739354668,0.8763768115942029,0.0343035594333942,0.0357941665476851,26.774087414740844
1.0380542739354668,0.8905797101449275,0.044457166739154,0.0375029371116428,31.60903361559181
1.0380542739354668,0.9047826086956522,0.0594266882047266,0.0394692969172891,38.14720715000375
1.0380542739354668,0.9189855072463768,0.082646225129771,0.0417690824377513,47.3710653540599
1.0380542739354668,0.9331884057971016,0.1211567304767424,0.0445129899556137,61.14683899932164
1.0380542739354668,0.947391304347826,0.1912527075776592,0.0478703332403697,83.45929094444638
1.0380542739354668,0.9615942028985508,0.337997156569032,0.0521161430216198,124.44243837853632
1.0380542739354668,0.9757971014492756,0.7293830051926553,0.0577346617146796,218.817669821768
1.0380542739354668,0.99,2.6010498378209963,0.0656815344879294,602.9233350009176
1.0721956971499391,0.01,4.940610341540744e-05,0.0008537012814914,67.7904842776891
1.0721956971499391,0.0242028985507246,0.0001196297041106,0.0020416705975987,28.6990604868088
1.0721956971499391,0.0384057971014492,0.0001900528763626,0.003201746988819,18.5396028823343
1.0721956971499391,0.0526086956521739,0.0002608340996287,0.004334914813236,13.880439979515728
1.0721956971499391,0.0668115942028985,0.000332138720058,0.0054421421406736,11.214495636251783
1.0721956971499391,0.0810144927536231,0.0004041398042456,0.0065243818823242,9.494079863835983
1.0721956971499391,0.0952173913043478,0.0004770191143611,0.0075825726271927,8.29664722603155
1.0721956971499391,0.1094202898550724,0.0005509681969106,0.0086176396823125,7.419076821011687
1.0721956971499391,0.1236231884057971,0.0006261896162317,0.0096304960351345,6.751628660901579
1.0721956971499391,0.1378260869565217,0.0007028982581798,0.0106220434131887,6.229831824323753
1.0721956971499391,0.1520289855072464,0.0007813228535445,0.0115931733265741,5.813341950663744
